name,population,area_sqmi
Acton,6522,39.3
Adams-Normandie,17596,0.8
Agoura Hills,20324,8.1
Agua Dulce,3130,31.5
Alhambra,85961,7.6
Alondra Park,8604,1.1
Altadena,42680,8.7
Angeles Crest,1175,430.5
Arcadia,52951,11.2
Arleta,31068,3.1
Arlington Heights,22096,1
Artesia,16380,1.6
Athens,9101,1.3
Atwater Village,14888,1.8
Avalon,3181,2.7
Avocado Heights,17415,2.9
Azusa,44384,9.9
Baldwin Hills/Crenshaw,30123,2.9
Baldwin Park,75753,6.8
Bel-Air,7691,6.4
Bell,36667,2.6
Bell Gardens,44054,2.5
Bellflower,72829,6.2
Beverly Crest,10852,8.2
Beverly Grove,21417,1.6
Beverly Hills,33829,5.7
Beverlywood,6080,0.8
Boyle Heights,92756,6.5
Bradbury,1268,1.9
Brentwood,31344,15.2
Broadway-Manchester,23471,1.6
Burbank,100316,17.3
Calabasas,23130,18.5
Canoga Park,53227,4.3
Carson,89549,19.1
Carthay,4866,0.5
Castaic,16843,5.5
Castaic Canyons,7757,192.7
Central-Alameda,40947,2.2
Century City,5513,0.7
Cerritos,51831,8.9
Charter Oak,9046,0.9
Chatsworth,35073,15.2
Chesterfield Square,6062,0.6
Cheviot Hills,6945,1.5
Chinatown,9610,0.9
Citrus,11964,1
Claremont,35397,16.7
Commerce,12583,6.6
Compton,94384,10.3
Covina,50954,7.6
Cudahy,24208,1.2
Culver City,38816,5.2
Cypress Park,9764,0.7
Del Aire,9039,1
Del Rey,28010,2.5
Desert View Highlands,2287,0.4
Diamond Bar,56784,15.1
Downey,107323,12.5
Downtown,27849,5.8
Duarte,21486,6.7
Eagle Rock,32493,4.3
East Compton,13802,0.8
East Hollywood,73967,2.4
East La Mirada,9442,1.1
East Los Angeles,125897,7.5
East Pasadena,6045,1.3
East San Gabriel,22171,2.2
Echo Park,40455,2.4
El Monte,116249,9.7
El Segundo,15970,5.5
El Sereno,40954,4.2
Elizabeth Lake,1379,6.3
Elysian Park,2530,1.6
Elysian Valley,7387,0.8
Encino,41905,9.5
Exposition Park,31062,1.8
Fairfax,12490,1.2
Florence,43815,2.8
Florence-Firestone,60154,3.6
Gardena,57818,5.8
Glassell Park,23467,2.8
Glendale,195047,30.6
Glendora,50177,19.5
Gramercy Park,10047,1.1
Granada Hills,50535,15.1
Green Meadows,28381,2.2
Green Valley,754,2.6
Hacienda Heights,53525,11.9
Hancock Park,9804,1.5
Harbor City,23561,2.6
Harbor Gateway,39688,5.1
Harvard Heights,18587,0.8
Harvard Park,10297,0.6
Hasley Canyon,423,3.1
Hawaiian Gardens,14915,1
Hawthorne,86265,6.2
Hermosa Beach,18442,1.5
Hidden Hills,1875,1.7
Highland Park,57566,3.4
Historic South-Central,49728,2.6
Hollywood,77818,3.5
Hollywood Hills,21588,7
Hollywood Hills West,14860,4.9
Huntington Park,61370,3
Hyde Park,36635,2.9
Industry,1008,12.4
Inglewood,112482,9.1
Irwindale,1472,9.6
Jefferson Park,23130,1.4
Koreatown,115070,2.7
La Cañada Flintridge,20381,8.6
La Crescenta-Montrose,18507,3.4
La Habra Heights,6094,6.2
La Mirada,46782,7.8
La Puente,41009,3.5
La Verne,33117,8.6
Ladera Heights,6509,2.9
Lake Balboa,24238,3.1
Lake Hughes,571,9.4
Lake Los Angeles,11141,7
Lake View Terrace,11803,4.2
Lakewood,79412,9.5
Lancaster,120783,102.4
Larchmont,8631,0.5
Lawndale,31729,2
Leimert Park,11782,1.2
Lennox,22950,1.1
Leona Valley,1374,15.3
Lincoln Heights,26616,2.5
Littlerock,1388,1.8
Lomita,19984,1.9
Long Beach,462731,52.1
Lopez/Kagel Canyons,697,3.6
Los Feliz,35238,2.6
Lynwood,69899,4.9
Malibu,12514,19.9
Manchester Square,11594,1
Manhattan Beach,34039,4
Mar Vista,35492,2.9
Marina del Rey,8302,1.5
Mayflower Village,11649,1.2
Maywood,28083,1.2
Mid-City,52197,3.5
Mid-Wilshire,41683,2.8
Mission Hills,18237,3.2
Monrovia,36817,13.9
Montebello,61960,8.5
Montecito Heights,16768,2.4
Monterey Park,59933,7.7
Mount Washington,12728,1.9
North El Monte,3703,0.4
North Hills,53095,5.3
North Hollywood,77848,5.9
North Whittier,4351,5.5
Northeast Antelope Valley,4550,442
Northridge,57561,9.5
Northwest Antelope Valley,3343,213.9
Northwest Palmdale,3125,5.8
Norwalk,103223,9.8
Pacific Palisades,23940,22.8
Pacoima,75014,7.1
Palmdale,117432,134.4
Palms,42545,1.9
Palos Verdes Estates,13340,4.7
Panorama City,65766,3.6
Paramount,55319,4.9
Pasadena,134941,25.1
Pico Rivera,63151,8.8
Pico-Robertson,18019,1
Pico-Union,42324,1.7
Playa del Rey,9755,2.8
Playa Vista,2416,1.3
Pomona,150269,22.9
Porter Ranch,24923,5.6
Quartz Hill,9351,3.8
Ramona,4053,3.6
Rancho Dominguez,2526,2.7
Rancho Palos Verdes,41301,13.4
Rancho Park,4295,0.6
Redondo Beach,63261,6.2
Reseda,62174,5.9
Ridge Route,1951,292.7
Rolling Hills,3218,3.6
Rolling Hills Estates,8334,3.8
Rosemead,53280,5.2
Rowland Heights,47524,13.2
San Dimas,35064,15.6
San Fernando,23534,2.4
San Gabriel,39306,4.2
San Marino,12973,3.8
San Pasqual,2082,0.3
San Pedro,80065,12.1
Santa Clarita,157447,57.4
Santa Fe Springs,17834,8.9
Santa Monica,84084,8.6
Sawtelle,35844,2.7
Shadow Hills,13098,12.8
Sherman Oaks,61166,9.1
Sierra Madre,10578,3
Signal Hill,9273,2.2
Silver Lake,30972,2.7
South El Monte,20935,2.9
South Gate,96418,7.4
South Park,30496,1.4
South Pasadena,24303,3.4
South San Gabriel,8100,1.4
South San Jose Hills,20257,1.5
South Whittier,55285,5.4
Southeast Antelope Valley,5271,193
Stevenson Ranch,8609,3.1
Studio City,34034,6.3
Sun Valley,75848,9.4
Sun Village,9375,10.2
Sunland,15316,4
Sylmar,69499,12.5
Tarzana,35502,8.8
Temple City,33296,4
Toluca Lake,7782,1.2
Topanga,7425,19.2
Torrance,137933,20.6
Tujunga,26527,10
Tujunga Canyons,2474,229.9
Unincorporated Catalina Island,139,72.5
Unincorporated Santa Monica Mountains,8929,89.3
Unincorporated Santa Susana Mountains,4525,78.1
University Park,23596,1.2
Val Verde,1888,0.7
Valinda,21568,2
Valley Glen,59230,4.8
Valley Village,24190,2.1
Van Nuys,103770,9
Venice,37705,3.2
Vermont Knolls,20616,1.1
Vermont Square,45284,2.5
Vermont Vista,23291,1.6
Vermont-Slauson,26797,1.4
Vernon,94,5.2
Veterans Administration,622,0.9
View Park-Windsor Hills,11066,1.8
Vincent,15032,1.5
Walnut,30004,9
Walnut Park,16180,0.7
Watts,36815,2.1
West Adams,21764,1.5
West Carson,21010,2.3
West Compton,5444,1.7
West Covina,104893,16.1
West Hills,38814,8.5
West Hollywood,35716,1.9
West Los Angeles,12659,1
West Puente Valley,23866,1.9
West San Dimas,309,0.3
West Whittier-Los Nietos,25880,2.6
Westchester,41500,10.8
Westlake,103839,2.7
Westlake Village,8663,5.6
Westmont,31467,1.8
Westwood,47916,3.7
Whittier,83838,14.7
Willowbrook,34336,3.8
Wilmington,51517,9.1
Windsor Square,5642,0.7
Winnetka,46943,4.8
Woodland Hills,59661,14.8
